,Unnamed: 0_x,date,country,id,start,end,severity,status,location,service_name,number_affected_products,city,Unnamed: 0_y,Start Date,End Date,Geo Locations,Disaster Type,Total Damages,Total Deaths,Total Affected
63,71,2022-09-17,Netherlands,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west4,Google Kubernetes Engine,1.0,Eemshaven,498,,,,,,,
64,72,2022-09-17,Switzerland,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west6,Google Kubernetes Engine,1.0,Zurich,534,,,,,,,
65,73,2022-09-17,France,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,europe-west9,Google Kubernetes Engine,1.0,Paris,436,,,,,,,
66,74,2022-09-17,Katar,,,,,,,,,,559,,,,,,,
67,75,2022-09-17,Israel,,,,,,,,,,476,,,,,,,
68,76,2022-09-17,Canada,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,northamerica-northeast1,Google Kubernetes Engine,1.0,Montréal,430,,,,,,,
69,77,2022-09-17,Brazil,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,southamerica-east1,Google Kubernetes Engine,1.0,São Paulo,418,,,,,,,
70,78,2022-09-17,Chile,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,southamerica-west1,Google Kubernetes Engine,1.0,Santiago,406,,,,,,,
71,79,2022-09-17,USA,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,us-central1,Google Kubernetes Engine,1.0,Council Bluffs,504,,,,,,,
72,84,2022-09-18,Taiwan,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-east1,Google Kubernetes Engine,1.0,Changhua County,710,2022-09-18,2022-09-18,,Earthquake,50000.0,1.0,140.0
73,85,2022-09-18,Hong Kong,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-east2,Google Kubernetes Engine,1.0,Hong Kong,729,,,,,,,
74,86,2022-09-18,Japan,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-northeast1,Google Kubernetes Engine,1.0,Tokyo,653,2022-09-18,2022-09-20,Kagosima (Adm1). ,Storm,2000000.0,5.0,1340.0
75,87,2022-09-18,South Korea,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-northeast3,Google Kubernetes Engine,1.0,Seoul,702,,,,,,,
76,88,2022-09-18,India,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-south1,Google Kubernetes Engine,1.0,Mumbai,651,2022-05-17,2022-10-31,"Arunachal Pradesh, Bihar, Gujarat, Himachal Pradesh, Madhya Pradesh, Maharashtra, Nagaland (Adm1). Cachar, East Khasi Hills, Ri-Bhoi (Adm2). ",Flood,4200000.0,2035.0,1301260.0
77,88,2022-09-18,India,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-south1,Google Kubernetes Engine,1.0,Mumbai,652,2022-09-18,2022-09-24,Uttar Pradesh (Adm1). ,Flood,,,
78,89,2022-09-18,Singapore,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-southeast1,Google Kubernetes Engine,1.0,Jurong West,766,,,,,,,
79,90,2022-09-18,Indonesia,urNR4xD4gBNsyaZj3W1i,2022-09-15T23:01:57+00:00,2022-09-29T20:49:04+00:00,low,SERVICE_INFORMATION,asia-southeast2,Google Kubernetes Engine,1.0,Jakarta,668,,,,,,,
